TransactionID,CustomerID,MerchantID,TransactionDate,Amount,PaymentType,IsFraud
TXN000001,CUST0449,MERCH0096,2024-10-03 17:43:09.308279,29812.95,Debit Card,0
TXN000002,CUST0087,MERCH0032,2025-03-04 17:43:09.308316,38879.93,Net Banking,0
TXN000003,CUST0101,MERCH0053,2025-04-01 17:43:09.308327,25345.72,Net Banking,0
TXN000004,CUST0008,MERCH0059,2024-08-14 17:43:09.308336,25519.15,Net Banking,0
TXN000005,CUST0200,MERCH0069,2024-10-29 17:43:09.308345,36293.0,Credit Card,0
TXN000006,CUST0505,MERCH0190,2024-07-03 17:43:09.308354,24981.36,Credit Card,0
TXN000007,CUST0087,MERCH0132,2024-08-03 17:43:09.308364,30463.71,UPI,1
TXN000008,CUST0043,MERCH0086,2024-07-30 17:43:09.308374,44898.93,Net Banking,0
TXN000009,CUST0385,MERCH0018,2025-05-19 17:43:09.308385,20132.41,Wallet,0
TXN000010,CUST0435,MERCH0227,2024-12-28 17:43:09.308397,19317.74,UPI,0
TXN000011,CUST0408,MERCH0081,2024-12-01 17:43:09.308407,277.09,Credit Card,0
TXN000012,CUST0483,MERCH0242,2024-09-28 17:43:09.308416,30709.97,Net Banking,0
TXN000013,CUST0017,MERCH0114,2025-03-01 17:43:09.308425,1585.62,Credit Card,0
TXN000014,CUST0148,MERCH0184,2025-06-04 17:43:09.308434,25257.01,Debit Card,0
TXN000015,CUST0277,MERCH0024,2024-10-13 17:43:09.308442,40231.27,Credit Card,0
TXN000016,CUST0232,MERCH0066,2025-03-28 17:43:09.308451,27541.06,Credit Card,0
TXN000017,CUST0366,MERCH0141,2025-01-18 17:43:09.308460,13554.84,UPI,0
TXN000018,CUST0228,MERCH0062,2025-01-30 17:43:09.308469,39329.8,Debit Card,0
TXN000019,CUST0436,MERCH0054,2025-03-03 17:43:09.308478,13558.88,Wallet,0
TXN000020,CUST0399,MERCH0143,2025-05-06 17:43:09.308487,36678.29,Wallet,0
TXN000021,CUST0211,MERCH0197,2024-08-30 17:43:09.308496,30551.9,Wallet,0
TXN000022,CUST0391,MERCH0131,2025-05-14 17:43:09.308505,8582.82,Net Banking,0
