TransactionID,CustomerID,MerchantID,TransactionDate,Amount,PaymentType,IsFraud,Name,Gender,AgeGroup,Region,SignupDate,MerchantName,Category,City,Country
TXN000001,CUST0449,MERCH0096,2024-10-03 17:43:09.307,29812.95,Debit Card,0,Customer_449,Male,18-25,East,2024-06-23 17:43:09.293,Merchant_96,Grocery,Chennai,India
TXN000002,CUST0087,MERCH0032,2025-03-04 17:43:09.307,38879.93,Net Banking,0,Customer_87,Female,46-60,South,2025-02-11 17:43:09.290,Merchant_32,Home Decor,Delhi,India
TXN000003,CUST0101,MERCH0053,2025-04-01 17:43:09.307,25345.72,Net Banking,0,Customer_101,Male,26-35,East,2021-07-12 17:43:09.290,Merchant_53,Beauty,Mumbai,India
TXN000004,CUST0008,MERCH0059,2024-08-14 17:43:09.310,25519.15,Net Banking,0,Customer_8,Male,26-35,West,2022-08-14 17:43:09.290,Merchant_59,Clothing,Delhi,India
TXN000005,CUST0200,MERCH0069,2024-10-29 17:43:09.310,36293.00,Credit Card,0,Customer_200,Male,46-60,North,2023-12-17 17:43:09.290,Merchant_69,Grocery,Ahmedabad,India
TXN000006,CUST0505,MERCH0190,2024-07-03 17:43:09.310,24981.36,Credit Card,0,Customer_505,Male,46-60,East,2021-11-28 17:43:09.293,Merchant_190,Books,Ahmedabad,India
TXN000007,CUST0087,MERCH0132,2024-08-03 17:43:09.310,30463.71,UPI,1,Customer_87,Female,46-60,South,2025-02-11 17:43:09.290,Merchant_132,Grocery,Chennai,India
TXN000008,CUST0043,MERCH0086,2024-07-30 17:43:09.310,44898.93,Net Banking,0,Customer_43,Female,46-60,South,2022-04-14 17:43:09.290,Merchant_86,Grocery,Pune,India
TXN000009,CUST0385,MERCH0018,2025-05-19 17:43:09.310,20132.41,Wallet,0,Customer_385,Male,36-45,North,2023-01-05 17:43:09.293,Merchant_18,Grocery,Chennai,India
TXN000010,CUST0435,MERCH0227,2024-12-28 17:43:09.310,19317.74,UPI,0,Customer_435,Female,36-45,North,2022-01-06 17:43:09.293,Merchant_227,Electronics,Delhi,India
TXN000011,CUST0408,MERCH0081,2024-12-01 17:43:09.310,277.09,Credit Card,0,Customer_408,Female,46-60,South,2021-10-06 17:43:09.293,Merchant_81,Electronics,Kolkata,India
TXN000012,CUST0483,MERCH0242,2024-09-28 17:43:09.310,30709.97,Net Banking,0,Customer_483,Male,36-45,South,2022-04-26 17:43:09.293,Merchant_242,Grocery,Mumbai,India
TXN000013,CUST0017,MERCH0114,2025-03-01 17:43:09.310,1585.62,Credit Card,0,Customer_17,Female,60+,North,2022-08-24 17:43:09.290,Merchant_114,Clothing,Pune,India
TXN000014,CUST0148,MERCH0184,2025-06-04 17:43:09.310,25257.01,Debit Card,0,Customer_148,Male,18-25,North,2022-11-15 17:43:09.290,Merchant_184,Beauty,Mumbai,India
TXN000015,CUST0277,MERCH0024,2024-10-13 17:43:09.310,40231.27,Credit Card,0,Customer_277,Male,60+,North,2024-10-05 17:43:09.293,Merchant_24,Grocery,Bangalore,India
TXN000016,CUST0232,MERCH0066,2025-03-28 17:43:09.310,27541.06,Credit Card,0,Customer_232,Female,60+,South,2023-01-18 17:43:09.290,Merchant_66,Beauty,Hyderabad,India
TXN000017,CUST0366,MERCH0141,2025-01-18 17:43:09.310,13554.84,UPI,0,Customer_366,Male,60+,West,2023-09-18 17:43:09.293,Merchant_141,Books,Kolkata,India
TXN000018,CUST0228,MERCH0062,2025-01-30 17:43:09.310,39329.80,Debit Card,0,Customer_228,Female,60+,East,2021-12-20 17:43:09.290,Merchant_62,Beauty,Pune,India
TXN000019,CUST0436,MERCH0054,2025-03-03 17:43:09.310,13558.88,Wallet,0,Customer_436,Female,36-45,North,2022-10-11 17:43:09.293,Merchant_54,Clothing,Kolkata,India
TXN000020,CUST0399,MERCH0143,2025-05-06 17:43:09.310,36678.29,Wallet,0,Customer_399,Female,60+,East,2024-04-19 17:43:09.293,Merchant_143,Home Decor,Pune,India
